,level_0,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8,level_9,individual importance,total importance,individual std,total std
242,sett_cutoff,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.0014869411795832197,0.9077077231526431,2.6103734718311958e-05,0.00031400371836123105
84,sett_cutoff,sett_model,sett_stratify_split,,,,,,,,0.001475639723135316,0.16557437327062813,2.766044144852792e-05,0.0001441593345906458
240,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,,,,,,,0.0014618491024838793,0.6274654387816823,1.6919762230422336e-05,0.00024768263618843943
2,sett_exclude_features,,,,,,,,,,0.0014488110793480194,0.0014488110793480194,2.2395995565561907e-05,2.2395995565561907e-05
82,sett_cutoff,sett_model,sett_preprocess_income,,,,,,,,0.0013678062849517664,0.026863957009014852,1.5416301880516877e-05,8.25145532908853e-05
16,sett_cutoff,sett_preprocess_income,,,,,,,,,0.0012096829334363724,0.02244445895543594,1.6295098753492436e-05,7.763237629803725e-05
29,sett_exclude_features,sett_model,,,,,,,,,0.0011781832585908935,0.002937663480124186,2.672349254330683e-05,2.917411402549776e-05
52,sett_preprocess_income,sett_scale,,,,,,,,,0.0011651668591630688,0.003008274363832333,3.08732934416172e-05,5.945092919749874e-05
499,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_scale,,,,,,0.0010938562589644018,0.6395443814276914,1.6688901685927624e-05,0.0002458535344032544
252,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0010495576010955657,0.03382720528396449,1.6438802956376686e-05,8.848467839038547e-05
78,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,,,,,,,,0.0010431381539711656,0.619623014782978,1.7086044940838627e-05,0.00023215517101559524
253,sett_cutoff,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.0010381994556438127,0.17327777310497078,2.613123353987132e-05,0.0001251307704026003
47,sett_model,sett_scale,,,,,,,,,0.0010304256373981436,0.0023368870905880767,1.7819879258849363e-05,2.2877643430477574e-05
500,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0010196382956507355,0.9217928165533682,2.7757449895259978e-05,0.0002866665937491842
8,sett_scale,,,,,,,,,,0.00099579231100466,0.00099579231100466,1.7766221610621857e-05,1.7766221610621857e-05
76,sett_cutoff,sett_fairness_grouping,sett_model,,,,,,,,0.0009264197995460233,0.6182405935614546,1.2785705518907936e-05,0.00025499442773746934
333,sett_exclude_features,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.0009225990776145919,0.7462131450844474,2.9889373285285892e-05,0.00022822724247349883
133,sett_exclude_features,sett_model,sett_stratify_split,,,,,,,,0.0009174736554133436,0.08247326002668638,3.0983848681377905e-05,0.00010688012706203755
156,sett_fairness_grouping,sett_model,sett_preprocess_income,,,,,,,,0.0009133065470533513,0.5858272646728777,2.1424936752254593e-05,0.00016101854332796283
14,sett_cutoff,sett_model,,,,,,,,,0.0008953510585655393,0.021593481029085773,1.3969365838557493e-05,8.322551366191624e-05
373,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_scale,,,,,,,0.0008533999015680225,0.5933445675518901,1.9138276776803552e-05,0.00018447340749359946
7,sett_preprocess_income,,,,,,,,,,0.0008473151936646045,0.0008473151936646045,2.656749587599132e-05,2.656749587599132e-05
246,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,sett_scale,,,,,,,0.0008221450599176312,0.6249167478093667,2.2654911720985946e-05,0.00025624715053858065
48,sett_model,sett_stratify_split,,,,,,,,,0.0007876284249891427,0.07860567940200447,1.737786045782118e-05,0.00010563325686734563
88,sett_cutoff,sett_preprocess_income,sett_scale,,,,,,,,0.0007819633173728457,0.025504488159308482,2.272944553065868e-05,9.603405919566148e-05
158,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,,0.000779057336736349,0.7387643088870307,1.7692164650939177e-05,0.00023859941411302275
12,sett_cutoff,sett_exclude_subgroups,,,,,,,,,0.0007296215116230024,0.021479290609079774,1.8762029508993825e-05,7.633833058955717e-05
28,sett_exclude_features,sett_fairness_grouping,,,,,,,,,0.000727476644081427,0.5834291640126954,1.4797555206413864e-05,0.00018778928704639973
157,sett_fairness_grouping,sett_model,sett_scale,,,,,,,,0.0006394265279839541,0.5849892388923219,1.2350186490286042e-05,0.00018368573261522432
43,sett_fairness_grouping,sett_scale,,,,,,,,,0.0006386984884418953,0.5828873670887124,1.4819724142970661e-05,0.00018647676305875917
162,sett_fairness_grouping,sett_preprocess_income,sett_scale,,,,,,,,0.0006366273314181085,0.5860725519097484,2.1701592321725835e-05,0.00019211983875653225
247,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,0.0005637695956073685,0.906385920167257,1.980332794598536e-05,0.00032384988255979285
89,sett_cutoff,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0005503020969600914,0.16506495227903548,1.9524818902353183e-05,0.0001602731856364934
42,sett_fairness_grouping,sett_preprocess_income,,,,,,,,,0.000536075436790188,0.5826362669197206,2.009114825644913e-05,0.00015864842191867743
69,sett_cutoff,sett_exclude_features,sett_stratify_split,,,,,,,,0.0005323771942154002,0.1645430041475649,1.3321897625635706e-05,0.0001618923555695293
124,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.0005151608219684772,0.08088025488639874,1.4318495778634715e-05,0.00011710422501901679
120,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,,0.0005034526545743643,0.004649579326757516,1.938806881344854e-05,4.7454619080669314e-05
169,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0004918551685881253,0.08214308846535509,2.3789270697302205e-05,9.840726832938904e-05
374,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.00048551280308027595,0.7445950163690506,2.3490459410822204e-05,0.000215942305551516
319,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,,0.0004731483201504551,0.7457980657978458,1.474221385966335e-05,0.00025298508435446987
35,sett_exclude_subgroups,sett_model,,,,,,,,,0.0004718278489733266,0.0011447052602804075,1.4968622258667097e-05,2.5154598514930688e-05
760,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,0.000463386521787679,0.9365705074989783,1.766430285780337e-05,0.00031432126292309514
449,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,0.0004574428699566893,0.17845541069526388,2.4811423001121835e-05,0.00017474994680853194
209,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,,,,,,,0.0004495887354442951,0.6243720353578454,2.0819410425048065e-05,0.0002483897474922525
710,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,0.00044926185422129955,0.9351720092418692,2.4953542800547985e-05,0.0003045596895921691
509,sett_cutoff,sett_model,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.00044679507182898454,0.18158135406816914,1.854716913406163e-05,0.00014107691386531487
213,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_stratify_split,,,,,,,0.0004427190673548378,0.9052334084893353,1.531444754992448e-05,0.000325612960198993
228,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,,0.00044194337104988177,0.905767110136829,1.2817893689732751e-05,0.00031978181188613975
196,sett_cutoff,sett_encode_categorical,sett_model,sett_stratify_split,,,,,,,0.000440481668585148,0.1664699948993938,1.70998654710673e-05,0.000150511140571742
584,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.0004400922088496551,0.7556781559113991,2.2085356614306996e-05,0.00024232223467135941
232,sett_cutoff,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.0004340965269614866,0.16884907857869935,2.181341319726216e-05,0.00014265815303999627
479,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.00043355947261307154,0.9152196715632666,2.221509320090258e-05,0.0002976383067513724
315,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,,,,,,,0.0004331096795712884,0.5927570544159256,1.6968637151617746e-05,0.00019702095406459055
323,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,0.00042795988873656893,0.08583652410244647,2.226093709540552e-05,0.00011590582265034926
75,sett_cutoff,sett_exclude_subgroups,sett_stratify_split,,,,,,,,0.00041968529380695656,0.16396575317214152,1.2818832199996065e-05,0.00015448872814085313
129,sett_exclude_features,sett_fairness_grouping,sett_stratify_split,,,,,,,,0.0004152801293827755,0.7396802839712198,1.6625502095805987e-05,0.0002401857556264402
424,sett_cutoff,sett_encode_categorical,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,0.00039358661529987943,0.9093945001185801,1.4677685803454873e-05,0.0003267743560880786
65,sett_cutoff,sett_exclude_features,sett_model,,,,,,,,0.00039251660550718354,0.02474661029345084,2.077885343684399e-05,8.903142653122291e-05
353,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.0003790537125907074,0.7434361131825529,1.4281259158045014e-05,0.00022967484173916713
27,sett_exclude_features,sett_exclude_subgroups,,,,,,,,,0.00037442707396383157,0.002185446422433659,9.913506553962093e-06,2.48129158682172e-05
3,sett_exclude_subgroups,,,,,,,,,,0.00036220826912180767,0.00036220826912180767,1.1067681859624287e-05,1.1067681859624287e-05
148,sett_exclude_subgroups,sett_model,sett_stratify_split,,,,,,,,0.0003590743425848071,0.0801479430385213,1.4234332739690193e-05,0.00010425054630774465
163,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0003584036317454581,0.7388599648824997,1.5095577787798761e-05,0.0002511293482716641
63,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,,,,,,,,0.00035358194982316717,0.023789729033133755,1.1470609125638718e-05,8.804891323300001e-05
505,sett_cutoff,sett_fairness_grouping,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,0.0003534137664984202,0.912859088097391,1.161149909921269e-05,0.00032331368445018597
53,sett_preprocess_income,sett_stratify_split,,,,,,,,,0.0003525671332215635,0.07870726416171622,1.4948215691654719e-05,0.0001228880349754925
39,sett_exclude_subgroups,sett_stratify_split,,,,,,,,,0.00034915317583688894,0.07821874327978875,1.30991203261599e-05,0.00012052710398649593
731,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00034349430602065236,0.9369625601576894,2.5026279388886132e-05,0.00028983934426323404
258,sett_cutoff,sett_preprocess_income,sett_scale,sett_stratify_split,,,,,,,0.00034161530857263226,0.1687100442484171,1.0537163469009207e-05,0.00016275508146042713
470,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00033558473398742796,0.1808189552496685,2.4626946178642195e-05,0.00015667254799530417
140,sett_exclude_subgroups,sett_fairness_grouping,sett_model,,,,,,,,0.0003326586644451366,0.584949838420525,9.497816669415938e-06,0.00017495737900823444
33,sett_exclude_features,sett_stratify_split,,,,,,,,,0.00032311263132966527,0.07927930554550774,1.3937936850971692e-05,0.00011705872216462744
144,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,,,0.0003195805714780367,0.7398947932140061,1.2015263307900836e-05,0.0002619449962395044
5,sett_model,,,,,,,,,,0.0003106691421852732,0.0003106691421852732,1.0187035530794404e-05,1.0187035530794404e-05
241,sett_cutoff,sett_fairness_grouping,sett_model,sett_scale,,,,,,,0.00029530786002719906,0.6223590540559296,8.063324323694136e-06,0.00025522005033624137
64,sett_cutoff,sett_exclude_features,sett_fairness_grouping,,,,,,,,0.0002853474308440929,0.6185820565403082,9.25849949819869e-06,0.00026356131837540904
445,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_stratify_split,,,,,,0.00027641309162403224,0.9140897544412103,1.0170618531157981e-05,0.0003058600264249661
83,sett_cutoff,sett_model,sett_scale,,,,,,,,0.0002654700105488062,0.02400227570436935,7.2572326963966306e-06,8.4625219410434e-05
208,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_stratify_split,,,,,,,0.00025900919163393283,0.16790585143534298,1.0332266109151684e-05,0.00015479643501935023
318,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_scale,,,,,,,0.00025529731027169075,0.5907483718117956,1.1396264825168326e-05,0.00021500686959348084
583,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_scale,,,,,,0.0002519797696866526,0.5984867296122319,8.462946768229538e-06,0.00021324319595534085
507,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.000248541052586489,0.1750243275571451,2.2211146952427557e-05,0.00011493937215999792
758,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00024613396078213516,0.9253005092487814,2.1929756122437167e-05,0.0002674261370184966
143,sett_exclude_subgroups,sett_fairness_grouping,sett_scale,,,,,,,,0.000244582053863926,0.5857594055726996,8.624425144545661e-06,0.00019248225606779797
729,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_stratify_split,,,,,0.000239930782299997,0.9234515309830174,1.3693838588510355e-05,0.0003050515265862435
352,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_scale,,,,,,,0.00023756116480275107,0.5890716778117204,9.456575582492591e-06,0.0001799476937623884
498,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.00023417483964641378,0.9094042251109378,1.2056130883545919e-05,0.0002984593546371971
468,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,0.00023369375961182693,0.17354063176442414,1.3847501330468377e-05,0.00016594850292575114
919,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00022951185632697993,0.94313516797723,1.934865680242736e-05,0.0003932893432565873
738,sett_cutoff,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.000227089871022163,0.18393958837897464,1.9567776223706572e-05,0.00020685121584312135
204,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,,,,,,,0.00021880962225813536,0.027909577562951447,1.3102061090827444e-05,9.781973139730815e-05
344,sett_exclude_features,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,,0.00021392828383165745,0.08647309449928622,1.5674183248304056e-05,0.00010185138973911732
605,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0002061280177427511,0.7531025762511531,1.4903245605384598e-05,0.0002017448866416288
201,sett_cutoff,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,0.00019999857091790248,0.16570310139095512,1.6561019447936377e-05,0.00015831467974259828
194,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,,,,,,,0.00019737810197710884,0.02759422044998702,1.1400291106238718e-05,7.212273957307936e-05
429,sett_cutoff,sett_encode_categorical,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,0.0001972439515811046,0.9076639335070473,1.610128189511621e-05,0.0003215679614604838
32,sett_exclude_features,sett_scale,,,,,,,,,0.00019170971958453896,0.0026363131099372186,5.439787747507556e-06,3.4574006856634595e-05
695,sett_cutoff,sett_encode_categorical,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_scale,,,,,0.00019087848680832402,0.6417911905947178,8.431278114016535e-06,0.00023998483943717377
123,sett_exclude_features,sett_exclude_subgroups,sett_scale,,,,,,,,0.00018991587086221646,0.003729864774394964,9.381850587677128e-06,3.975811305787454e-05
322,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,0.0001892549907484904,0.0077645245238431556,6.497240433780446e-06,6.491311335139773e-05
251,sett_cutoff,sett_model,sett_preprocess_age,sett_stratify_split,,,,,,,0.0001880605394222039,0.16638373709224702,1.1050719180404332e-05,0.00013978299846111665
435,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.00018778320337488005,0.17523157303251846,1.4887455161519393e-05,0.0001279900039431145
434,sett_cutoff,sett_encode_categorical,sett_model,sett_preprocess_income,sett_scale,,,,,,0.00018715884062993815,0.03504290047447111,8.475144007104397e-06,7.665248052931503e-05
696,sett_cutoff,sett_encode_categorical,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.0001864611062198925,0.9255373228661683,1.444539791186609e-05,0.0003019714779303153
132,sett_exclude_features,sett_model,sett_scale,,,,,,,,0.00018249345978732918,0.005338084607898858,6.820898067928293e-06,3.818491226608585e-05
914,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,0.00017758653928941174,0.19272340514988406,1.449997480519947e-05,0.0002537293416047152
996,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,0.00017673403553676332,0.962583388763169,1.4816361613651629e-05,0.0004401131518893003
381,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,,0.00017646666243533026,0.08279053745934334,1.248230234017867e-05,9.01492819350655e-05
128,sett_exclude_features,sett_fairness_grouping,sett_scale,,,,,,,,0.00017547265736939547,0.5854308371890958,5.621171032157541e-06,0.00020574573227481995
632,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.00017343416747561213,0.7459189989141592,1.272381786522124e-05,0.0002038321209209065
441,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,,,,,,0.0001726567513135828,0.6325660363907936,1.2230904996264483e-05,0.00022394399035673729
332,sett_exclude_features,sett_fairness_grouping,sett_model,sett_scale,,,,,,,0.0001717120268003424,0.5905809974595397,6.672489099666855e-06,0.00019110077100702858
422,sett_cutoff,sett_encode_categorical,sett_fairness_grouping,sett_model,sett_preprocess_income,,,,,,0.00017154719057389632,0.6287800447041954,1.1833910168170976e-05,0.00023954174385762842
596,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,0.00016954205069384052,0.08999535911389331,1.0117327967443586e-05,0.00013547194810994786
147,sett_exclude_subgroups,sett_model,sett_scale,,,,,,,,0.00016835275719037152,0.0035062764163834724,8.067463988176262e-06,3.260849373162198e-05
490,sett_cutoff,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,,0.0001678146725427943,0.17709581878252664,6.8220362959038495e-06,0.00013717203703515524
746,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00016763719429900692,0.9304088816899619,6.857358946875292e-06,0.0002884308157975812
824,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_scale,sett_stratify_split,,,,,0.00016725596755691536,0.7634861747474206,1.0556815373139443e-05,0.0002772651259104466
38,sett_exclude_subgroups,sett_scale,,,,,,,,,0.00016700045050988988,0.0015250010306363574,5.847645444112512e-06,2.259015290242512e-05
721,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_preprocess_income,sett_stratify_split,,,,,0.00016008985062664527,0.18828941166662233,8.683229587642261e-06,0.0001867854777761965
907,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_preprocess_income,sett_stratify_split,,,,0.00016002771243877546,0.9538002725910839,8.583439572877085e-06,0.00031196977596453877
249,sett_cutoff,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,,0.00015777323717689368,0.02753052430314594,1.2531427453300551e-05,6.846301783895853e-05
22,sett_encode_categorical,sett_model,,,,,,,,,0.00015432518599064397,0.0004902379110328063,6.2634223073913595e-06,1.0959061897300485e-05
329,sett_exclude_features,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,0.00015346503732286592,0.08291238850653568,1.0274138750866333e-05,0.00012178069940636667
590,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_scale,sett_stratify_split,,,,,,0.0001528032043217893,0.7496299450431085,1.0551427580406412e-05,0.00027462021167623475
127,sett_exclude_features,sett_fairness_grouping,sett_preprocess_income,,,,,,,,0.00015197112826586623,0.5850295434513619,8.726945021541473e-06,0.00017490352720299346
71,sett_cutoff,sett_exclude_subgroups,sett_model,,,,,,,,0.00014903833916297458,0.023306176997966888,5.935088095240342e-06,8.28188502110058e-05
222,sett_cutoff,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,0.0001481603479311304,0.16787228390949757,9.315838465954526e-06,0.00014910982910305466
81,sett_cutoff,sett_model,sett_preprocess_age,,,,,,,,0.0001477021303678842,0.021892787185146555,1.286662266771217e-05,7.857259937291159e-05
245,sett_cutoff,sett_fairness_grouping,sett_preprocess_age,sett_stratify_split,,,,,,,0.00014609228725422953,0.901554917152467,9.654249292799677e-06,0.00032404498102404716
170,sett_model,sett_scale,sett_stratify_split,,,,,,,,0.0001452677466999268,0.08089430140279323,7.556980234131601e-06,0.00010997848856392404
612,sett_exclude_features,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,,0.00014131720011426244,0.08757219528050231,9.909964875979234e-06,0.00010731591828146152
496,sett_cutoff,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_preprocess_income,,,,,,0.000140474607471703,0.6287674682460481,1.1164657012817845e-05,0.00023442790081436624
375,sett_fairness_grouping,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0001404287309540646,0.742585128925159,7.289533800782376e-06,0.00024644349196727936
464,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,0.0001401917029295645,0.9115586856315512,8.709952657172572e-06,0.00029552969358317656
365,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,,,0.00013851811609694287,0.08303956832799136,7.603145472405183e-06,0.0001128363193310707
457,sett_cutoff,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_income,,,,,,0.00013671163234673988,0.6342882427403178,8.716099937673999e-06,0.00023043651938142566
203,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,0.00013630547412719609,0.6243843086546346,5.289756605101906e-06,0.0002456704576111466
79,sett_cutoff,sett_fairness_grouping,sett_scale,,,,,,,,0.00013623294273838342,0.6178746335236326,5.429496391058774e-06,0.00024964641359810484
87,sett_cutoff,sett_preprocess_age,sett_stratify_split,,,,,,,,0.0001361206781061372,0.16240220329950397,1.036423196722489e-05,0.00016246489782860342
621,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_scale,sett_stratify_split,,,,,,0.00013597341251128545,0.748606671847509,6.593232124937215e-06,0.0002376808971655392
835,sett_exclude_features,sett_fairness_grouping,sett_model,sett_preprocess_age,sett_preprocess_income,sett_stratify_split,,,,,0.00013501381714826958,0.75524263683367,9.32750170555876e-06,0.00020291920173152105
722,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_model,sett_scale,sett_stratify_split,,,,,0.0001345439908353235,0.18416737874622555,8.438487666462208e-06,0.00018547083834889326
908,sett_cutoff,sett_exclude_features,sett_exclude_subgroups,sett_fairness_grouping,sett_model,sett_scale,sett_stratify_split,,,,0.00013437112921056913,0.9461617465693095,8.318303002364567e-06,0.00032604814849792224
11,sett_cutoff,sett_exclude_features,,,,,,,,,0.00013361832091896583,0.02196989022860195,6.404478543624051e-06,9.064767528338287e-05
338,sett_exclude_features,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,0.00012974448664911713,0.7422468778822717,9.950995592086442e-06,0.00023288895227765153
501,sett_cutoff,sett_fairness_grouping,sett_model,sett_scale,sett_stratify_split,,,,,,0.00012958566556183992,0.9128139859525757,5.254121955904936e-06,0.0003345175688100245
154,sett_exclude_subgroups,sett_scale,sett_stratify_split,,,,,,,,0.00012913196488410544,0.07962780431187344,5.424462464042596e-06,0.00012312089194348026
359,sett_exclude_subgroups,sett_fairness_grouping,sett_scale,sett_stratify_split,,,,,,,0.00012861870696852107,0.7424293977853247,5.502977132561625e-06,0.00027483510899185636
303,sett_encode_categorical,sett_fairness_grouping,sett_preprocess_income,sett_stratify_split,,,,,,,0.0001275649788983325,0.7393285822004529,6.979059467517866e-06,0.0002547346299353316
298,sett_encode_categorical,sett_fairness_grouping,sett_model,sett_stratify_split,,,,,,,0.0001271853220981153,0.7393296986141277,8.221001004077031e-06,0.00024268497497657884
254,sett_cutoff,sett_model,sett_scale,sett_stratify_split,,,,,,,0.0001268028598088608,0.168478991219594,5.582172924765013e-06,0.00015622671449701847
138,sett_exclude_features,sett_preprocess_income,sett_stratify_split,,,,,,,,0.00012549922076924734,0.08066970477310906,1.0477917344029458e-05,0.0001163328026374025
70,sett_cutoff,sett_exclude_subgroups,sett_fairness_grouping,,,,,,,,0.00012200424156085202,0.6192988847979127,5.770814686828864e-06,0.00024029044871987573
40,sett_fairness_grouping,sett_model,,,,,,,,,0.00012135049604205029,0.5816848959274932,6.749785735666401e-06,0.00017706905168751106
117,sett_encode_categorical,sett_preprocess_income,sett_stratify_split,,,,,,,,0.0001202222878679104,0.07892640849504615,6.8730217836820555e-06,0.00012465115350177857
